date,vol_pctile_SPY,vol_pctile_EEM,vol_pctile_EWJ,vol_pctile_XLE,vol_pctile_XLU,vol_pctile_TLT,vol_pctile_SHY,vol_pctile_LQD,vol_pctile_HYG,vol_pctile_USO,vol_pctile_UNG,vol_pctile_GLD,vol_pctile_DBA,vol_pctile_UUP,vol_pctile_FXY,vol_pctile_VNQ,vol_pctile_RWX,er_SPY,er_EEM,er_EWJ,er_XLE,er_XLU,er_TLT,er_SHY,er_LQD,er_HYG,er_USO,er_UNG,er_GLD,er_DBA,er_UUP,er_FXY,er_VNQ,er_RWX,port_vol,port_vol_pctile,cross_asset_dispersion
1996-12-05,0.428571,,,,,,,,,,,,,,,,,0.430156,,0.009346,,,,,,,,,,,,,,,0.102267,0.57672,0.010068
1996-12-06,0.443122,,,,,,,,,,,,,,,,,0.379105,,0.070175,,,,,,,,,,,,,,,0.109434,0.67328,0.029901
1996-12-09,0.436508,,,,,,,,,,,,,,,,,0.41193,,0.06087,,,,,,,,,,,,,,,0.109382,0.671958,0.032538
1996-12-10,0.455026,,,,,,,,,,,,,,,,,0.378866,,0.060869,,,,,,,,,,,,,,,0.109268,0.670635,0.037265
1996-12-11,0.492063,,,,,,,,,,,,,,,,,0.323121,,0.107438,,,,,,,,,,,,,,,0.11515,0.781746,0.049932
1996-12-12,0.579365,,,,,,,,,,,,,,,,,0.219254,,0.107439,,,,,,,,,,,,,,,0.114838,0.776455,0.033966
1996-12-13,0.578042,,,,,,,,,,,,,,,,,0.217114,,0.133335,,,,,,,,,,,,,,,0.114133,0.767196,0.029796
1996-12-16,0.649471,,,,,,,,,,,,,,,,,0.175966,,0.169492,,,,,,,,,,,,,,,0.115398,0.787037,0.022273
1996-12-17,0.665344,,,,,,,,,,,,,,,,,0.204747,,0.155174,,,,,,,,,,,,,,,0.115371,0.784392,0.029843
1996-12-18,0.681217,,,,,,,,,,,,,,,,,0.215213,,0.18261,,,,,,,,,,,,,,,0.114659,0.772487,0.029493
1996-12-19,0.794974,,,,,,,,,,,,,,,,,0.254975,,0.189657,,,,,,,,,,,,,,,0.114755,0.772487,0.048248
1996-12-20,0.793651,,,,,,,,,,,,,,,,,0.260605,,0.165218,,,,,,,,,,,,,,,0.114986,0.775132,0.051332
1996-12-23,0.797619,,,,,,,,,,,,,,,,,0.252044,,0.203541,,,,,,,,,,,,,,,0.114783,0.771164,0.053692
1996-12-24,0.800265,,,,,,,,,,,,,,,,,0.266535,,0.247864,,,,,,,,,,,,,,,0.115839,0.798942,0.077236
1996-12-26,0.804233,,,,,,,,,,,,,,,,,0.28411,,0.216667,,,,,,,,,,,,,,,0.118012,0.849206,0.064549
1996-12-27,0.796296,,,,,,,,,,,,,,,,,0.284965,,0.250001,,,,,,,,,,,,,,,0.11829,0.850529,0.071111
1996-12-30,0.816138,,,,,,,,,,,,,,,,,0.256688,,0.233334,,,,,,,,,,,,,,,0.118241,0.849206,0.060393
1996-12-31,0.834656,,,,,,,,,,,,,,,,,0.185062,,0.233334,,,,,,,,,,,,,,,0.119215,0.857143,0.036362
